age_band,response,lower,estimate,upper,n,count,notes
16 to 29,Strongly agree,12,7,16,230,11335590,
16 to 29,Agree,38,31,45,230,11335590,
16 to 29,Neither agree nor disagree,27,20,33,230,11335590,
16 to 29,Disagree,17,11,23,230,11335590,
16 to 29,Strongly disagree,7,3,10,230,11335590,
16 to 29,Strongly agree or agree,49,42,57,230,11335590,[note 2]
16 to 29,Strongly disagree or disagree,24,17,30,230,11335590,[note 2]
30 to 49,Strongly agree,10,7,13,450,17252904,
30 to 49,Agree,38,33,44,450,17252904,
30 to 49,Neither agree nor disagree,34,29,39,450,17252904,
30 to 49,Disagree,13,9,17,450,17252904,
30 to 49,Strongly disagree,5,3,7,450,17252904,
30 to 49,Strongly agree or agree,48,43,53,450,17252904,[note 2]
30 to 49,Strongly disagree or disagree,18,14,22,450,17252904,[note 2]
50 to 69,Strongly agree,6,4,8,1170,16909144,
50 to 69,Agree,30,27,34,1170,16909144,
50 to 69,Neither agree nor disagree,46,42,50,1170,16909144,
50 to 69,Disagree,13,10,15,1170,16909144,
50 to 69,Strongly disagree,5,3,7,1170,16909144,
50 to 69,Strongly agree or agree,36,32,40,1170,16909144,[note 2]
50 to 69,Strongly disagree or disagree,18,15,21,1170,16909144,[note 2]
70 and over,Strongly agree,3,2,4,1440,9114555,
70 and over,Agree,23,20,26,1440,9114555,
70 and over,Neither agree nor disagree,53,49,56,1440,9114555,
70 and over,Disagree,16,14,19,1440,9114555,
70 and over,Strongly disagree,5,4,6,1440,9114555,
70 and over,Strongly agree or agree,26,23,29,1440,9114555,[note 2]
70 and over,Strongly disagree or disagree,21,18,24,1440,9114555,[note 2]
Male,Strongly agree,10,7,12,1610,26582143,
